,pos,words
251,starkes Verb,treffen
252,word not found,polizei
253,word not found,wohl
254,Pronomen,ich
255,,mir
256,Adverb,davon
257,starkes Verb,bekommen
258,Zahlwort,zehn
259,word not found,september
260,word not found,viel
261,word not found,problem
262,word not found,um
263,word not found,unternehmen
264,Adverb,sogar
265,word not found,patentamt
266,word not found,waehrend
267,word not found,familie
268,schwaches Verb,berichten
269,schwaches Verb,leben
270,Adjektiv,schnell
271,word not found,waehrend
272,word not found,juni
273,schwaches Verb,meinen
274,schwaches Verb,folgen
275,Adjektiv,international
276,word not found,maerz
277,schwaches Verb,arbeiten
278,word not found,oktober
279,word not found,praesident
280,unregelmäßiges Verb,bestehen
281,word not found,schule
282,starkes Verb,schreiben
283,word not found,ort
284,schwaches Verb,fordern
285,word not found,geld
286,word not found,team
287,Adjektiv,frei
288,unregelmäßiges Verb,ziehen
289,word not found,gast
290,Adverb,mal
291,word not found,gruppe
292,word not found,klar
293,Adverb,besonders
294,Adverb,bisher
295,word not found,beispiel
296,word not found,gerade
297,schwaches Verb,erreichen
298,Adjektiv,bekannt
299,starkes Verb,steigen
300,Adverb,darauf
301,word not found,gar
302,starkes und schwaches Verb,schaffen
303,Pronomen,etwas
304,Adjektiv,deutlich
305,word not found,mannschaft
306,word not found,stunde
307,word not found,november
308,Zahlwort,sechs
309,word not found,richtig
310,word not found,film
311,word not found,ziel
312,word not found,meter
313,word not found,mittwoch
314,word not found,april
315,word not found,august
316,Adjektiv,schoen
317,word not found,wenig
318,word not found,montag
319,word not found,kirche
320,word not found,juli
321,word not found,foto
322,word not found,regierung
323,word not found,erfolg
324,starkes Verb,laufen
325,Adverb,deshalb
326,word not found,ohne
327,Adverb,auszerdem
328,word not found,donnerstag
329,Adverb,ebenfalls
330,schwaches Verb,feiern
331,Adverb,kaum
332,word not found,sicher
333,Adverb,derzeit
334,Adverb,insgesamt
335,word not found,sieg
336,word not found,verschieden
337,word not found,partei
338,word not found,trainer
339,starkes Verb,fahren
340,word not found,auf
341,word not found,januar
342,word not found,wort
343,word not found,tor
344,word not found,programm
345,schwaches Verb,sorgen
346,Zahlwort,dritte
347,word not found,zahl
348,word not found,dezember
349,word not found,projekt
350,word not found,dienstag
351,Adverb,oft
352,unregelmäßiges Verb,entstehen
353,word not found,werk
354,Adverb,zudem
355,word not found,vielleicht
356,Adjektiv,ehemalig
357,word not found,information
358,word not found,art
359,Adverb,schlieszlich
360,schwaches Verb,suchen
361,Adverb,zusammen
362,starkes Verb,treten
363,word not found,region
364,,dritt
365,word not found,wie
366,schwaches Verb,erwarten
367,word not found,rund
368,Adjektiv,oeffentlich
369,word not found,wollen
370,word not found,spaeter
371,Adverb,zurueck
372,Adverb,nie
373,schwaches Verb,planen
374,schwaches Verb,legen
375,starkes Verb,tragen
376,word not found,hand
377,word not found,buch
378,Pronomen und Zahlwort,mehrere
379,word not found,staat
380,word not found,preis
381,Adjektiv,leicht
382,word not found,einzig
383,word not found,februar
384,word not found,schueler
385,word not found,anfang
386,starkes Verb,entscheiden
387,schwaches Verb,brauchen
388,word not found,zunaechst
389,unregelmäßiges Verb,denken
390,Adjektiv,offen
391,word not found,leute
392,word not found,chance
393,word not found,pro
394,word not found,person
395,word not found,acht
396,word not found,uebernehmen
397,word not found,kreis
398,starkes Verb,verlieren
399,word not found,herr
400,word not found,mitarbeiter
401,word not found,musik
402,word not found,ergebnis
403,Adverb,lange
404,word not found,bereich
405,word not found,genau
406,schwaches Verb,fehlen
407,starkes Verb,scheinen
408,starkes Verb,fallen
409,Adverb,damals
410,word not found,jahrhundert
411,word not found,vorsitzende
412,word not found,natuerlich
413,word not found,angabe
414,starkes Verb,erscheinen
415,Konjunktion,nachdem
416,Adverb,darueber
417,Adjektiv,knapp
418,schwaches Verb,versuchen
419,word not found,voll
420,word not found,allein
421,word not found,saison
422,word not found,gespraech
423,Adverb,weiter
424,word not found,auto
425,word not found,titel
426,Adjektiv,kommend
427,,band
428,Adjektiv,europaeisch
429,word not found,abend
430,word not found,zukunft
431,word not found,weisz
432,word not found,einsatz
433,word not found,firma
434,Adverb,eher
435,word not found,buergermeister
436,word not found,deutsche
437,word not found,kuenftig
438,word not found,handeln
439,Adverb,dagegen
440,schwaches Verb,glauben
441,Präposition,trotz
442,Adjektiv,schlecht
443,word not found,diskussion
444,starkes Verb,befinden
445,word not found,wirklich
446,word not found,folge
447,word not found,aber
448,word not found,eltern
449,word not found,laut
450,word not found,hinter
451,Adjektiv,zahlreich
452,word not found,moeglichkeit
453,Adverb,daher
454,word not found,spieler
455,word not found,entscheidung
456,word not found,stelle
457,word not found,wahl
458,word not found,eigentlich
459,word not found,zeitung
460,Adjektiv,fest
461,word not found,gegenueber
462,word not found,jugendliche
463,starkes Verb,schlagen
464,schwaches Verb,nutzen
465,Adjektiv,erfolgreich
466,unregelmäßiges Verb,kennen
467,Adverb,ebenso
468,Adverb,erstmals
469,word not found,weblink
470,Adverb,danach
471,Adjektiv,folgend
472,Adjektiv,amerikanisch
473,Adjektiv,raum
474,word not found,mutter
475,word not found,entwicklung
476,word not found,vater
477,word not found,besucher
478,schwaches Verb,freuen
479,starkes Verb,helfen
480,word not found,buerger
481,word not found,stueck
482,word not found,bank
483,Adverb,jeweils
484,word not found,sieben
485,word not found,statt
486,word not found,gruene
487,word not found,sache
488,word not found,denn
489,word not found,politik
490,schwaches Verb,waehlen
491,Adjektiv,deutsch
492,word not found,wochenende
493,Adverb,zuvor
494,word not found,hilfe
495,starkes Verb,schlieszen
496,word not found,telefon
497,Adverb,warum
498,word not found,beginn
499,word not found,angebot
500,word not found,rolle
501,word not found,beitrag
502,Adjektiv,besondere
503,word not found,ausstellung
504,unregelmäßiges Verb,sitzen
505,word not found,direkt
506,schwaches Verb,erzaehlen
507,Adjektiv,freund
508,Adverb,inzwischen
509,word not found,hoehe
510,schwaches Verb,teilen
511,word not found,nacht
512,word not found,fuszball
513,word not found,wenig
514,word not found,veranstaltung
515,word not found,mitte
516,Adverb,daran
517,Adjektiv,franzoesisch
518,word not found,gesellschaft
519,Pronomen und Zahlwort,manch
520,Konjunktion,obwohl
521,Adjektiv,zusaetzlich
522,word not found,autor
523,schwaches Verb,bauen
524,word not found,unterstuetzen
525,unregelmäßiges Verb,verstehen
526,word not found,markt
527,word not found,form
528,word not found,sohn
529,schwaches Verb,hoeren
530,schwaches Verb,zaehlen
531,schwaches Verb,rechnen
532,schwaches Verb,fragen
533,word not found,masznahme
534,Adjektiv,aktuell
535,word not found,aufgabe
536,word not found,blick
537,word not found,amt
538,Adjektiv,rot
539,Adverb,hin
540,Adverb,zuletzt
541,word not found,chef
542,schwaches Verb,wirken
543,word not found,auge
544,word not found,politiker
545,Adjektiv,einzeln
546,starkes Verb,sterben
547,Adjektiv,klasse
548,schwaches Verb,starten
549,Adverb,dennoch
550,word not found,betrieb
551,Adjektiv,offiziell
552,word not found,leistung
553,word not found,kilometer
554,schwaches Verb,hoffen
555,word not found,stimme
556,Adjektiv,sozial
557,word not found,richtung
558,word not found,tod
559,Adjektiv,erneut
560,schwaches Verb,bilden
561,schwaches Verb,bezeichnen
562,word not found,literatur
563,schwaches Verb,praesentieren
564,schwaches Verb,lernen
565,schwaches Verb,erinnern
566,schwaches Verb,bestaetigen
567,word not found,kosten
568,Adjektiv,recht
569,word not found,ueberhaupt
570,word not found,interesse
571,Adverb,anders
572,word not found,wasser
573,Adjektiv,heutig
574,word not found,lesen
575,word not found,krieg
576,Adjektiv,gesamt
577,word not found,kunst
578,word not found,je
579,word not found,kopf
580,schwaches Verb,rahmen
581,word not found,internet
582,Adjektiv,recht
583,Adjektiv,lieb
584,word not found,milliarde
585,schwaches Verb,aendern
586,word not found,idee
587,word not found,zuschauer
588,word not found,fuehrung
589,word not found,kritik
590,word not found,universitaet
591,word not found,dollar
592,word not found,wachsen
593,Adjektiv,voellig
594,word not found,lage
595,word not found,maedchen
596,Präposition,kraft
597,word not found,sinn
598,word not found,tatsaechlich
599,schwaches Verb,holen
600,Adjektiv,persoenlich
601,word not found,bau
602,word not found,bericht
603,word not found,ob
604,word not found,verfuegung
605,Adverb,bald
606,word not found,situation
607,word not found,publikum
608,Adjektiv,aehnlich
609,word not found,laden
610,schwaches Verb,oeffnen
611,word not found,durch
612,starkes Verb,gelingen
613,word not found,entsprechend
614,Adjektiv,privat
615,schwaches Verb,warten
616,word not found,opfer
617,word not found,zug
618,word not found,museum
619,word not found,konzert
620,word not found,wirtschaft
621,Adjektiv,wert
622,word not found,karte
623,Adjektiv,historisch
624,Adverb,bislang
625,starkes Verb,entsprechen
626,word not found,bestimmt
627,Adjektiv,positiv
628,Adjektiv,falsch
629,word not found,kunde
630,word not found,eben
631,Adverb,zumindest
632,word not found,kampf
633,schwaches Verb,einsetzen
634,schwaches Verb,stammen
635,word not found,buehne
636,word not found,man
637,Adverb,weiterhin
638,word not found,schweizer
639,Präposition,per
640,schwaches Verb,melden
641,schwaches Verb,verletzen
642,word not found,verlassen
643,word not found,satz
644,schwaches Verb,stimmen
645,word not found,kosten
646,word not found,quelle
647,word not found,tochter
648,Adjektiv,schwarz
649,word not found,text
650,word not found,laut
651,word not found,sommer
652,word not found,bad
653,word not found,gericht
654,word not found,aktion
655,word not found,grenze
656,Pronomen,niemand
657,schwaches Verb,bedeuten
658,word not found,klub
659,word not found,jene
660,word not found,kontakt
661,word not found,kuenstler
662,word not found,paar
663,word not found,damit
664,starkes Verb,verbinden
665,word not found,bevoelkerung
666,Adjektiv,aktiv
667,word not found,verlag
668,word not found,genau
669,Adjektiv,plan
670,starkes Verb,anbieten
671,word not found,bund
672,Adverb,mindestens
673,word not found,viel
674,starkes Verb,bitten
675,starkes Verb,werfen
676,word not found,tier
677,word not found,theater
678,schwaches Verb,drohen
679,word not found,englisch
680,starkes Verb,aufnehmen
681,word not found,meinung
682,word not found,modern
683,,schritt
684,Adverb,sonst
685,word not found,gebiet
686,starkes Verb,rufen
687,word not found,geschaeft
688,schwaches Verb,entwickeln
689,word not found,gebaeude
690,word not found,partie
691,word not found,naemlich
692,schwaches Verb,erhoehen
693,Adjektiv,haeufig
694,schwaches Verb,eroeffnen
695,Adjektiv,hart
696,unregelmäßiges Verb,erkennen
697,Adjektiv,gering
698,word not found,sprache
699,word not found,kultur
700,word not found,teilnehmer
701,word not found,berliner
702,schwaches Verb,reichen
703,schwaches Verb,zahlen
704,Adjektiv,allgemein
705,Adjektiv,oesterreichisch
706,schwaches Verb,fuehlen
707,word not found,vertrag
708,schwaches Verb,leisten
709,word not found,erfahrung
710,Adjektiv,technisch
711,Adverb,sofort
712,word not found,runde
713,Adjektiv,britisch
714,word not found,gesetz
715,Zahlwort,neun
716,word not found,gerne
717,starkes Verb,weisen
718,Adverb,beispielsweise
719,word not found,reihe
720,schwaches Verb,vorstellen
721,Adjektiv,tief
722,word not found,geburtstag
723,word not found,hinweis
724,Konjunktion,sowohl
725,word not found,bahn
726,word not found,wohnung
727,Adjektiv,unterschiedlich
728,Adverb,meist
729,Zahlwort,zwoelf
730,Adjektiv,russisch
731,starkes Verb,betragen
732,Adjektiv,halb
733,word not found,berliner
734,schwaches Verb,betonen
735,word not found,unterstuetzung
736,schwaches Verb,gruenden
737,Adverb,dadurch
738,word not found,junge
739,word not found,gegner
740,word not found,haelfte
741,word not found,vorstand
742,starkes Verb,vertreten
743,word not found,innerhalb
744,word not found,arzt
745,unregelmäßiges Verb,verwenden
746,Adjektiv,finanziell
747,word not found,vertreter
748,Adverb,gern
749,word not found,loesung
750,word not found,trotzdem
751,word not found,fahrzeug
752,word not found,liste
753,word not found,leiter
754,word not found,kollege
755,Adverb,lediglich
756,Pronomen,jemand
757,Adjektiv,taeglich
758,schwaches Verb,sichern
759,word not found,sport
760,Adverb,darunter
761,Adjektiv,schwierig
762,Adjektiv,weise
763,word not found,institut
764,Adjektiv,eng
765,word not found,sprecher
766,schwaches Verb,dienen
767,word not found,union
768,schwaches Verb,wuenschen
769,word not found,bedeutung
770,word not found,herz
771,Adjektiv,gleichzeitig
772,Adjektiv,notwendig
773,word not found,druck
774,Adverb,oben
775,word not found,zusammenarbeit
776,word not found,dein
777,word not found,dorf
778,Adjektiv,bisherig
779,Adverb,darin
780,word not found,begriff
781,word not found,start
782,word not found,system
783,Adjektiv,mittel
784,Adjektiv,katholisch
785,Adjektiv,weltweit
786,starkes Verb,beschreiben
787,word not found,jugend
788,word not found,niederlage
789,word not found,besuch
790,schwaches Verb,verhindern
791,word not found,rede
792,word not found,frueher
793,word not found,gott
794,schwaches Verb,besuchen
795,Adjektiv,musikalisch
796,schwaches Verb,wechseln
797,schwaches Verb,erleben
798,word not found,info
799,Adjektiv,teuer
800,starkes Verb,beschlieszen
801,Konjunktion,bevor
802,word not found,ergeben
803,word not found,sicherheit
804,schwaches Verb,kaempfen
805,,schloss
806,schwaches Verb,verkaufen
807,schwaches Verb,kritisieren
808,word not found,soldat
809,word not found,boden
810,word not found,ding
811,Adjektiv,wirtschaftlich
812,word not found,fan
813,Adjektiv,wesentlich
814,Adjektiv,selten
815,word not found,linie
816,Adjektiv,verantwortlich
817,schwaches Verb,kaufen
818,schwaches Verb,erfolgen
819,,angst
820,Adverb,mittlerweile
821,word not found,anmeldung
822,starkes Verb,singen
823,word not found,erfahren
824,Adjektiv,sogenannt
825,Adverb,durchaus
826,word not found,vergleich
827,,viert
828,Adverb,anschlieszend
829,word not found,liebe
830,word not found,behoerde
831,word not found,vorschlag
832,Adverb,darum
833,Adjektiv,noetig
834,word not found,organisation
835,Adverb,laengst
836,Adverb,immerhin
837,schwaches Verb,aeuszern
838,word not found,endlich
839,Adjektiv,zufrieden
840,word not found,feuerwehr
841,Adjektiv,jaehrlich
842,Adjektiv,national
843,word not found,gefahr
844,word not found,leitung
845,word not found,aussage
846,schwaches Verb,reden
847,schwaches Verb,beteiligen
848,Adjektiv,zustaendig
849,word not found,auftritt
850,schwaches Verb,scheitern
851,Adjektiv,breit
852,word not found,konzept
853,word not found,dauern
854,word not found,prozess
855,word not found,verband
856,,stand
857,schwaches Verb,verlangen
858,word not found,volk
859,Adverb,leider
860,word not found,dienst
861,Adjektiv,evangelisch
862,word not found,naemlich
863,Adjektiv,bereit
864,word not found,ministerpraesident
865,Adverb,wobei
866,word not found,taeter
867,Konjunktion,weder
868,Adjektiv,medium
869,Zahlwort,vierte
870,schwaches Verb,loesen
871,starkes Verb,enthalten
872,Adjektiv,urspruenglich
873,word not found,kurs
874,word not found,lehrer
875,word not found,mehrheit
876,word not found,glueck
877,word not found,haengen
878,,rang
879,schwaches Verb,erzielen
880,schwaches Verb,ankuendigen
881,starkes Verb,stattfinden
882,Adverb,morgen
883,Adverb,diesmal
884,word not found,einladen
885,word not found,vorjahr
886,Adjektiv,traditionell
887,word not found,strecke
888,schwaches Verb,entdecken
889,Adjektiv,italienisch
890,starkes Verb,versprechen
891,schwaches Verb,passieren
892,Adverb,insbesondere
893,word not found,hotel
894,word not found,links
895,schwaches Verb,verdienen
896,word not found,meister
897,word not found,vorstellung
898,word not found,belegen
899,schwaches Verb,leiten
900,word not found,wunsch
901,Adjektiv,uebrig
902,Adverb,zugleich
903,Adverb,hinaus
904,word not found,herbst
905,word not found,bezirk
906,word not found,bruder
907,word not found,zusammenhang
908,word not found,arbeitsplatz
909,schwaches Verb,verzichten
910,word not found,gewiss
911,schwaches Verb,bestimmen
912,word not found,gemeinderat
913,schwaches Verb,verbessern
914,word not found,parlament
915,schwaches Verb,foerdern
916,word not found,experte
917,schwaches Verb,schaden
918,word not found,je
919,word not found,aus
920,word not found,regel
921,word not found,rat
922,word not found,anlage
923,word not found,position
924,word not found,krankenhaus
925,word not found,hoffnung
926,Adjektiv,jugendlich
927,word not found,wettbewerb
928,Adverb,jedenfalls
929,Adverb,somit
930,word not found,auszer
931,word not found,lied
932,word not found,geraten
933,Adjektiv,datum
934,word not found,geschaeftsfuehrer
935,schwaches Verb,kuendigen
936,word not found,abschluss
937,schwaches Verb,warnen
938,word not found,fusz
939,Adjektiv,erklaert
940,word not found,einrichtung
941,word not found,antrag
942,word not found,zentrum
943,starkes Verb,abschlieszen
944,Partikel,nein
945,Adjektiv,ploetzlich
946,word not found,auftrag
947,word not found,lauf
948,schwaches Verb,ueberzeugen
949,unregelmäßiges Verb,rennen
950,word not found,urteil
951,word not found,koenig
952,schwaches Verb,darstellen
953,starkes Verb,treffen
954,schwaches Verb,liefern
955,word not found,antwort
956,Konjunktion,hingegen
957,schwaches Verb,reagieren
958,word not found,dame
959,word not found,liga
960,word not found,sitzung
961,word not found,verhaeltnis
962,word not found,roman
963,schwaches Verb,informieren
964,Adjektiv,licht
965,word not found,einwohner
966,word not found,einzelnachweis
967,word not found,speziell
968,word not found,anteil
969,,tat
970,word not found,nummer
971,unregelmäßiges Verb,besitzen
972,word not found,genug
973,word not found,naehe
974,schwaches Verb,mitteilen
975,Adverb,teilweise
976,word not found,motto
977,word not found,sicht
978,word not found,offenbar
979,word not found,verfahren
980,word not found,rein
981,schwaches Verb,organisieren
982,schwaches Verb,richten
983,word not found,unfall
984,word not found,modell
985,word not found,forderung
986,word not found,tuer
987,Adverb,stets
988,starkes Verb,stoszen
989,Adjektiv,gruen
990,word not found,natur
991,word not found,alter
992,starkes Verb,sinken
993,word not found,freude
994,schwaches Verb,lauten
995,schwaches Verb,bezahlen
996,word not found,standort
997,word not found,serie
998,word not found,produkt
999,word not found,streit
